Form Name,Form Created,Form Submitted,County,GPS Latitude,GPS Longitude,GPS Accuracy,Kenya Questionnaire,Kenya Multi Sector Mapping Project,In What Year Did This Establishment Begin Operations?,"How Many Services (Kenswitch, Mastercard, Pesa Point, Visa) Does the ATM Offer?",How Many Machines are Located at the ATM Booth?
Stand alone ATM,2015/03/13 11:31:38 AM,2015/03/13 11:35:58 AM,MURANGA,-0.87777,37.13978,6,Financial,Stand alone ATM,2009/05/09,2,1
Stand alone ATM,2015/03/13 12:01:31 PM,2015/03/13 12:05:30 PM,NAIROBI,-1.18373,36.90135,6,Financial,Stand alone ATM,2015/03/13,2,3
Stand alone ATM,2015/03/13 12:03:56 PM,2015/03/13 12:08:31 PM,NAIROBI,-1.31164,36.83733,12,Financial,Stand alone ATM,2013/01/07,1,2
Stand alone ATM,2015/03/13 12:30:34 PM,2015/03/13 12:34:30 PM,NAIROBI,-1.25829,36.81962,15,Financial,Stand alone ATM,2010/01/01,4,1
Stand alone ATM,2015/03/13 01:13:19 PM,2015/03/13 01:21:26 PM,NAIROBI,-1.25753,36.81811,5,Financial,Stand alone ATM,2010/01/01,3,1
Stand alone ATM,2015/03/13 01:21:38 PM,2015/03/13 01:26:14 PM,NAIROBI,-1.25023,36.81214,13,Financial,Stand alone ATM,2009/01/01,2,1
Stand alone ATM,2015/03/13 01:24:38 PM,2015/03/13 01:33:24 PM,MURANGA,-0.72066,37.1593,12,Financial,Stand alone ATM,2000/01/01,2,2
Stand alone ATM,2015/03/13 01:28:59 PM,2015/03/13 01:33:55 PM,NAIROBI,-1.25819,36.81888,15,Financial,Stand alone ATM,2013/01/01,2,1
Stand alone ATM,2015/03/13 03:39:09 PM,2015/03/13 03:43:40 PM,NAIROBI,-1.25966,36.81792,8,Financial,Stand alone ATM,2012/01/01,4,1
Stand alone ATM,2015/03/13 04:32:43 PM,2015/03/13 04:36:44 PM,NAIROBI,-1.26207,36.82272,12,Financial,Stand alone ATM,2013/01/01,2,1
