County,GPS Latitude,GPS Longitude
NAIROBI,-1.28888,36.97143
NAIROBI,-1.30164,36.888000000000005
NAIROBI,-1.3017,36.88793
NAIROBI,-1.30106,36.88815
NAIROBI,-1.30112,36.88813
NYERI,-0.17132999999999998,37.0224
NAIROBI,-1.2902,36.97262
KILIFI,-3.9480800000000005,39.74525
MOMBASA,-4.06082,39.65844
NAIROBI,-1.21294,36.89327
MOMBASA,-4.06306,39.67273
MOMBASA,-4.06294,39.67242
NAIROBI,-1.30721,36.80252
NAIROBI,-1.30718,36.80249
NAIROBI,-1.2893700000000001,36.90129
NAIROBI,-1.28931,36.90108
NAIROBI,-1.2896100000000001,36.90122
NAIROBI,-1.2892700000000001,36.90137
NAIROBI,-1.2891700000000001,36.90133
NAIROBI,-1.36659,36.728629999999995
NAIROBI,-1.22771,36.91827
NAIROBI,-1.21112,36.89359
MOMBASA,-4.04836,39.68677
NAIROBI,-1.2097,36.893840000000004
NAIROBI,-1.2830700000000002,36.9594
NAIROBI,-1.28116,36.96309
NAIROBI,-1.3074299999999999,36.80251
NAIROBI,-1.32314,36.89924
NAIROBI,-1.32318,36.89922
NAIROBI,-1.3198299999999998,36.837270000000004
NAIROBI,-1.3195,36.83695
NAIROBI,-1.31916,36.83684
NAIROBI,-1.34323,36.76412
NAIROBI,-1.31923,36.8372
NAIROBI,-1.34321,36.76415
NAIROBI,-1.34317,36.764109999999995
KISUMU,-0.09795,34.7623
KISUMU,-0.09791,34.76233
NAIROBI,-1.3432600000000001,36.76412
NAIROBI,-1.3431899999999999,36.76415
NAKURU,-0.32995,35.94275
NAIROBI,-1.2685,36.992020000000004
KILIFI,-3.62164,39.84929
NAIROBI,-1.18937,36.9314
NYERI,-0.55795,37.05322
KISUMU,-0.10422999999999999,34.7525
KISUMU,-0.09998,34.76813
KISUMU,-0.09799,34.76222
KISUMU,-0.09811,34.76236
NAIROBI,-1.32887,36.89165
NAIROBI,-1.32884,36.89136
NAIROBI,-1.3288200000000001,36.8914
NAIROBI,-1.32827,36.89176
NYERI,-0.32844,36.9047
KILIFI,-3.2088799999999997,40.11657
NAIROBI,-1.3298299999999998,36.88942
