County,GPS Latitude,GPS Longitude
MOMBASA,-4.05558,39.68227
KIAMBU,-1.15098,36.80227
MERU,0.38435,37.9805
MOMBASA,-4.06395,39.67351
KISII,-0.9092899999999999,34.795790000000004
MOMBASA,-4.06018,39.671409999999995
NAKURU,-0.49943000000000004,36.323159999999994
MOMBASA,-4.06301,39.675259999999994
MOMBASA,-4.06352,39.67778
MOMBASA,-4.06323,39.67453
KAJIADO,-1.47827,36.95755
MERU,0.22962,37.940290000000005
KAJIADO,-1.4794100000000001,36.9575
MOMBASA,-4.06166,39.66718
MERU,0.22829000000000002,37.94003
KAJIADO,-1.39615,36.75308
MURANGA,-0.73223,36.927609999999994
MURANGA,-0.72596,36.93309
KIAMBU,-1.03795,37.07905
KAJIADO,-1.4792399999999999,36.957229999999996
KIAMBU,-0.9844799999999999,36.630359999999996
KIAMBU,-1.1477899999999999,36.9598
NYANDARUA,-0.05876,36.5302
NYANDARUA,-0.053570000000000007,36.53014
BUSIA,0.27981,34.11851
KIRINYAGA,-0.56839,36.99689
KIAMBU,-1.1008799999999999,36.79745
LAIKIPIA,-0.07781,36.57833
BUNGOMA,0.78068,34.56463
NYERI,-0.5667300000000001,36.999140000000004
KILIFI,-2.9966,40.19443
KIAMBU,-1.18085,36.7795
KAJIADO,-1.4773100000000001,36.958490000000005
NYERI,-0.14105,36.71092
WEST POKOT,1.25637,35.09281
NYERI,-0.14117000000000002,36.71096
MURANGA,-0.60295,36.95582
KIAMBU,-0.9506700000000001,36.76384
MURANGA,-0.60235,36.95687
KWALE,-4.28137,39.59216
KWALE,-4.28183,39.590140000000005
KISUMU,-0.38954,35.012229999999995
KWALE,-4.28439,39.5889
KWALE,-4.29283,39.58462
KWALE,-4.2927599999999995,39.58466
MURANGA,-0.60292,36.95278
NYERI,-0.20031,36.8199
KWALE,-4.28592,39.5758
KIAMBU,-0.94678,36.594590000000004
TAITA-TAVETA,-3.39296,38.56114
KAKAMEGA,0.6957,34.98744
NYERI,-0.19922,36.82043
KAKAMEGA,0.6957899999999999,34.9874
KISII,-0.8613799999999999,34.82032
THARAKA-NITHI,-0.36917,37.618970000000004
THARAKA-NITHI,-0.36914,37.61922
LAIKIPIA,0.03462,36.36163
MURANGA,-0.67313,36.94433
KWALE,-4.36215,39.55798
KWALE,-4.36345,39.55778
KWALE,-4.36567,39.55727
KWALE,-4.37392,39.55655
KAJIADO,-1.3973799999999998,36.75298
KIAMBU,-1.01213,36.90412
KILIFI,-3.54397,39.5219
UASIN GISHU,0.5169,35.272240000000004
SAMBURU,0.9798100000000001,37.32329
KAJIADO,-1.4313799999999999,36.68855
KAJIADO,-1.42979,36.68858
KWALE,-4.17529,39.45333
KAJIADO,-1.42965,36.688629999999996
KIAMBU,-1.05593,36.77769
KIAMBU,-1.0566200000000001,36.77825
SAMBURU,0.97762,37.3234
KAJIADO,-1.42911,36.689009999999996
KAJIADO,-1.4695,36.95129
KISII,-0.66802,34.76883
KISII,-0.81452,34.73052
KWALE,-3.8672800000000005,39.45755
KIAMBU,-1.01214,36.9043
BUSIA,0.13593,34.03114
LAIKIPIA,0.035410000000000004,36.36495
KAJIADO,-1.3957600000000001,36.76559
MERU,0.33514,37.93656
NYERI,-0.32794,36.9045
LAIKIPIA,0.26045,36.53691
KIAMBU,-1.01452,36.90728
NYANDARUA,-0.8790100000000001,36.57147
MERU,0.33679000000000003,37.98604
KIAMBU,-1.05713,36.77686
UASIN GISHU,0.8785799999999999,35.11963
KIAMBU,-1.01181,36.90316
LAIKIPIA,0.029889999999999996,36.365359999999995
UASIN GISHU,0.8790899999999999,35.12015
KAJIADO,-2.54818,36.78975
MERU,0.24304,37.82949
LAIKIPIA,0.03818,36.36445
NYANDARUA,-0.27613000000000004,36.37699
NYANDARUA,-0.2757,36.37726
NYANDARUA,-0.19263,36.50196
EMBU,-0.57724,37.64042
WEST POKOT,1.20211,35.284729999999996
TAITA-TAVETA,-3.39365,37.67261
LAIKIPIA,0.034480000000000004,36.36445
WEST POKOT,1.20199,35.28454
BUSIA,0.09791,33.98039
EMBU,-0.6721699999999999,37.3613
KAJIADO,-1.3622100000000001,36.65343
KIAMBU,-1.0104600000000001,36.90347
KIAMBU,-1.01225,36.90348
KIAMBU,-1.28548,36.68492
NYANDARUA,-0.27179000000000003,36.37536
EMBU,-0.5343899999999999,37.4518
EMBU,-0.67707,37.356359999999995
NAKURU,-0.28303,36.16397
NAKURU,-0.9822,36.58573
TAITA-TAVETA,-3.3903199999999996,37.675779999999996
KERICHO,-0.36813,35.28499
UASIN GISHU,0.51812,35.27129
NYANDARUA,0.02553,36.41033
BUSIA,0.06959,33.99015
MERU,-0.19534,37.61333
EMBU,-0.69112,37.37187
KITUI,-1.23292,37.9158
NYANDARUA,-0.26735,36.37777
EMBU,-0.4329,37.47838
NAKURU,-0.98235,36.584959999999995
KITUI,-0.5577,38.2108
BOMET,-0.7832600000000001,35.34132
HOMA BAY,-0.5270199999999999,34.45753
NYANDARUA,0.01566,36.49181
TAITA-TAVETA,-3.29379,37.733779999999996
KERICHO,-0.37211,35.28154
KITUI,-1.36113,38.00846
SIAYA,0.18255,34.2958
SIAYA,0.18245,34.295759999999994
EMBU,-0.45315,37.78913
KITUI,-0.71194,38.07895
BOMET,-0.78391,35.33934
TAITA-TAVETA,-3.18785,37.72403
EMBU,-0.45182,37.78925
BOMET,-0.78242,35.339490000000005
NAKURU,-0.7186600000000001,36.43638
KERICHO,-0.37029,35.282920000000004
THARAKA-NITHI,-0.33509,37.64662
BOMET,-0.7842399999999999,35.338
KERICHO,-0.3723,35.28269
MARSABET,2.3336900000000003,37.99029
KITUI,-0.92945,38.0609
KITUI,-0.93465,38.05614
THARAKA-NITHI,-0.33488,37.647
KITUI,-0.55733,38.21035
NYERI,-0.42266000000000004,36.952040000000004
THARAKA-NITHI,-0.33476,37.64735
UASIN GISHU,0.37617,35.47348
NAKURU,-0.25122,35.73525
NAKURU,-0.25090999999999997,35.735040000000005
THARAKA-NITHI,-0.33109,37.647459999999995
NAKURU,-0.5875100000000001,35.68651
EMBU,-0.6846,37.3544
BOMET,-0.73152,35.34512
HOMA BAY,-0.64542,34.462959999999995
EMBU,-0.41197,37.45077
KERICHO,-0.33418000000000003,35.32542
THARAKA-NITHI,-0.33111999999999997,37.64737
HOMA BAY,-0.36785,34.65319
THARAKA-NITHI,-0.33065,37.647729999999996
HOMA BAY,-0.36917,34.65043
MERU,0.0478,37.65159
MERU,0.04767,37.65146
BOMET,-0.73147,35.34592
BOMET,-0.72739,35.350629999999995
LAMU,-2.2711,40.90126
THARAKA-NITHI,-0.33432,37.64608
ELGEYO MARAKWET,0.37761999999999996,35.54168
BOMET,-0.78215,35.34216
ELGEYO MARAKWET,0.36757,35.54677
ELGEYO MARAKWET,0.35836,35.57408
ELGEYO MARAKWET,0.6703,35.50828
HOMA BAY,-0.37877,34.636390000000006
BOMET,-0.7821600000000001,35.339659999999995
BOMET,-0.74324,35.35944
HOMA BAY,-0.34763,34.78832
HOMA BAY,-0.34813,34.79096
ELGEYO MARAKWET,0.2006,35.570040000000006
KERICHO,-0.31829,35.21694
TRANS NZOIA,0.8947200000000001,34.92654
BARINGO,-0.02307,35.96355
BARINGO,-0.02273,35.96374
KITUI,-0.93299,38.0536
KITUI,-0.93496,38.05359
BARINGO,0.06602000000000001,35.70374
THARAKA-NITHI,-0.0998,38.01007
BOMET,-0.71833,35.3095
MERU,-0.06396,37.6627
MERU,-0.06387999999999999,37.662409999999994
BARINGO,0.12479000000000001,35.593990000000005
KIRINYAGA,-0.44403000000000004,37.41211
KERICHO,-0.29531999999999997,35.27337
THARAKA-NITHI,-0.15527,37.972570000000005
KITUI,-1.22648,38.1877
MARSABET,2.32983,37.98949
HOMA BAY,-0.47763999999999995,34.5452
ELGEYO MARAKWET,0.23645,35.58157
ELGEYO MARAKWET,0.32111,35.63729
LAMU,-2.07265,41.14468
BARINGO,0.49223,35.74289
KERICHO,-0.32011,35.22096
LAMU,-2.05602,41.11329
LAMU,-2.05672,41.11107
BOMET,-0.70292,35.25667
NAKURU,-0.7783899999999999,36.43104
NAIROBI,-1.26626,36.74905
KERICHO,-0.35731,35.17597
HOMA BAY,-0.5063,34.73464
LAMU,-2.17942,40.81402
LAIKIPIA,0.40728000000000003,36.37894
UASIN GISHU,0.50485,35.2346
UASIN GISHU,0.50702,35.2356
UASIN GISHU,0.50267,35.23357
BOMET,-0.93886,35.42194
MIGORI,-1.0725,34.46583
MIGORI,-1.07155,34.468759999999996
MIGORI,-1.07141,34.46898
BARINGO,0.73221,35.83061
KAJIADO,-2.022,37.36759
HOMA BAY,-0.5088600000000001,34.735490000000006
BOMET,-0.93558,35.4225
LAIKIPIA,0.41357,36.319790000000005
MAKUENI,-2.0148,37.37258
MACHAKOS,-1.14741,37.5467
MAKUENI,-1.85307,37.25962
HOMA BAY,-0.51668,34.73142
BOMET,-0.9364399999999999,35.42057
NYAMIRA,-0.76102,35.013490000000004
LAMU,-2.3901,40.70019
KAJIADO,-2.10074,37.129
MAKUENI,-2.68951,38.16426
KIRINYAGA,-0.503,37.279920000000004
MERU,-0.17892,37.62531
MERU,-0.17872000000000002,37.625820000000004
KIRINYAGA,-0.50052,37.27883
MAKUENI,-1.7932400000000002,37.36287
HOMA BAY,-0.42944,34.690540000000006
BOMET,-0.9211299999999999,35.412009999999995
MERU,-0.17798,37.627159999999996
MERU,-0.18382,37.676559999999995
TRANS NZOIA,0.9833299999999999,35.221070000000005
ELGEYO MARAKWET,0.46508,35.540620000000004
KIRINYAGA,-0.43343000000000004,37.31053
NYANDARUA,-0.60548,36.578
ELGEYO MARAKWET,0.38609,35.49447
KERICHO,-0.4062,35.22724
NYANDARUA,-0.60709,36.577259999999995
KIRINYAGA,-0.44714,37.34767
LAMU,-2.38908,40.6972
ELGEYO MARAKWET,0.37598000000000004,35.54368
MAKUENI,-2.07883,37.47006
KERICHO,-0.40452,35.22835
KAKAMEGA,0.33534,34.487359999999995
MAKUENI,-1.80246,37.41107
KIRINYAGA,-0.49925,37.27792
MAKUENI,-1.9991700000000001,37.41766
